Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,2.78,11.01,0
10.0,2.4,1,18.693877551020407,12.41,0
20.0,5.9,7,19.41176470588235,10.78,0
30.0,9.1,14,21.166666666666668,11.97,0
31.0,12.5,15,27.0,11.76,0
40.0,12.6,16,26.321428571428573,11.72,0
41.0,14.7,17,29.695652173913043,11.59,0
50.0,16.3,21,34.09090909090909,11.04,0
51.0,17.6,28,35.25925925925926,12.25,0
61.0,19.5,31,36.0,12.24,0
71.0,23.2,34,36.21568627450981,12.13,0
81.0,27.0,30,35.89795918367347,11.44,0
82.0,30.4,34,35.0,9.94,0
91.0,30.5,34,35.0,11.81,0
92.0,32.4,34,35.21739130434783,11.84,0
101.0,34.1,34,36.0,11.92,0
102.0,35.5,34,40.16129032258065,11.74,0
111.0,37.7,39,45.0,10.74,0
112.0,37.9,39,44.83673469387755,12.38,0
122.0,41.5,40,45.0,12.57,0
132.0,45.1,42,44.98039215686274,11.9,0
142.0,48.7,41,44.8,11.66,0
143.0,51.3,40,45.0,11.87,0
152.0,52.6,41,45.0,11.64,0
153.0,54.1,42,45.0,11.55,0
162.0,56.0,43,45.0,8.86,0
163.0,56.2,43,45.0,11.38,0
173.0,59.6,45,44.82,11.47,0
183.0,63.2,43,44.0,12.65,0
193.0,67.0,42,44.32,12.32,0
203.0,70.6,42,45.0,12.34,0
204.0,72.9,42,45.61904761904762,12.17,0
213.0,74.4,42,46.0,11.42,0
214.0,74.6,42,46.583333333333336,11.97,0
223.0,78.2,44,47.0,11.24,0
224.0,78.3,44,47.0,12.28,0
234.0,81.8,47,47.0,12.57,0
244.0,85.5,44,47.0,12.44,0
254.0,89.3,44,47.3921568627451,12.23,0
264.0,92.9,41,47.2,12.19,0
274.0,96.5,42,47.0,11.81,0
275.0,98.1,42,47.42857142857143,11.12,0
285.0,99.7,42,49.9,9.88,0
