Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0.0,0.0,0
10.0,0.0,0,0.0,0.0,0
20.0,0.0,0,0.0,0.0,0
30.0,0.0,0,2.82,0.0,0
40.0,0.0,2,15.478260869565217,5.95,0
41.0,0.9,5,22.6,4.47,0
50.0,1.1,8,42.24,6.05,0
60.0,3.0,35,50.0,6.14,0
61.0,3.9,43,50.0,7.37,0
71.0,5.5,45,50.0,9.31,0
81.0,8.7,46,49.9,10.09,0
91.0,12.1,43,49.72549019607843,10.07,0
101.0,15.6,47,50.14,9.46,0
111.0,18.5,47,50.06521739130435,7.78,0
112.0,21.0,46,49.0,8.08,0
121.0,21.3,46,48.84615384615385,9.42,0
122.0,23.5,44,50.09090909090909,7.86,0
131.0,24.2,47,50.0,7.7,0
132.0,24.5,47,49.79545454545455,10.45,0
142.0,27.3,48,49.98039215686274,10.82,0
152.0,30.9,47,50.1,11.47,0
162.0,34.7,44,49.90196078431372,10.77,0
172.0,38.5,46,50.1,11.29,0
182.0,42.3,44,49.85294117647059,11.05,0
183.0,45.0,44,50.0,10.39,0
192.0,46.1,44,50.0,9.91,0
193.0,48.3,44,50.0,9.84,0
203.0,49.6,41,49.8235294117647,10.88,0
213.0,53.3,42,49.92156862745098,10.84,0
223.0,57.0,40,49.94,10.65,0
233.0,60.9,39,49.627450980392155,10.69,0
243.0,64.3,38,49.88,10.11,0
253.0,68.0,36,49.80769230769231,10.37,0
254.0,69.9,36,49.72,10.41,0
263.0,71.8,36,50.42857142857143,10.49,0
264.0,72.4,36,49.883720930232556,11.03,0
274.0,75.7,35,49.86274509803921,10.39,0
284.0,79.3,35,50.0,10.03,0
294.0,83.0,36,50.02,10.59,0
304.0,86.7,38,50.0,11.05,0
305.0,88.9,38,50.0,10.3,0
314.0,90.3,40,50.0,10.49,0
315.0,93.3,46,50.0,9.94,0
324.0,93.8,46,50.0,10.8,0
325.0,94.2,46,49.84782608695652,11.58,0
334.0,97.7,47,50.214285714285715,11.38,0
335.0,98.7,47,49.833333333333336,11.68,0
339.0,99.8,41,49.0,6.79,0
345.0,99.8,40,50.23809523809524,6.61,0
