Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.2,0,11.36,0.0,0
27.0,0.0,0,0.0,0.0,0
37.0,0.0,0,0.0,0.0,0
38.0,0.0,0,0.0,0.0,0
47.0,0.0,0,0.0,0.0,0
48.0,0.0,0,1.2380952380952381,0.0,0
57.0,0.0,0,3.0,0.0,0
58.0,0.0,0,8.333333333333334,1.05,0
68.0,0.1,7,34.01960784313726,6.1,0
78.0,1.6,36,50.04,9.95,0
88.0,4.6,44,50.0,9.04,0
98.0,7.7,47,50.0,7.16,0
99.0,8.6,48,50.0,10.89,0
108.0,11.0,48,50.0,11.28,0
109.0,13.6,49,50.0,11.0,0
118.0,14.8,49,50.0,9.76,0
119.0,15.1,49,49.744680851063826,10.81,0
129.0,18.3,47,49.88,10.49,0
139.0,22.0,45,49.96078431372549,11.25,0
149.0,25.7,47,49.92,11.07,0
159.0,29.5,47,49.8235294117647,11.03,0
169.0,33.1,48,50.0,11.78,0
170.0,35.2,47,50.0,11.33,0
179.0,37.1,47,50.0,10.67,0
180.0,38.1,47,50.0,10.8,0
190.0,40.9,46,49.98039215686274,11.76,0
200.0,44.9,46,49.72,12.01,0
210.0,48.7,45,49.8235294117647,11.44,0
220.0,52.4,42,50.0,12.33,0
230.0,56.2,43,50.0,11.96,0
231.0,58.6,43,50.0,10.79,0
241.0,59.9,42,49.490196078431374,11.01,0
251.0,63.5,42,50.0,11.44,0
261.0,67.1,45,50.0,10.72,0
262.0,70.3,48,50.0,8.48,0
271.0,70.3,47,50.0,11.85,0
281.0,74.3,49,49.95652173913044,11.35,0
282.0,78.0,48,50.0,10.15,0
291.0,78.3,48,50.0,11.64,0
301.0,82.2,47,50.0,9.28,0
302.0,82.4,47,49.851063829787236,10.68,0
312.0,86.1,46,49.6078431372549,10.81,0
322.0,89.3,45,50.14,11.51,0
332.0,92.8,46,49.75,10.66,0
333.0,95.0,49,50.0,8.15,0
342.0,95.8,49,50.0,10.84,0
343.0,98.3,48,50.083333333333336,11.1,0
352.0,99.1,47,49.69230769230769,8.6,0
353.0,99.9,43,50.285714285714285,3.44,0
