Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
1.0,0.0,0,0,0 kB/s,0
1.0,0.0,0,0,0 kB/s,0
1.0,0.0,0,0,0 kB/s,0
1.0,0.0,0,0,114 kB/s,0
1.0,0.0,0,0,1.12 MB/s,0
1.0,0.1,0,0,2.46 MB/s,0
1.0,0.2,0,0,3.53 MB/s,0
1.0,0.2,0,0,4.74 MB/s,0
1.0,0.3,0,0,5.93 MB/s,0
1.0,0.4,0,0,7.10 MB/s,0
1.0,0.4,0,0,8.25 MB/s,0
1.0,0.5,0,0,9.21 MB/s,0
1.0,0.6,0,0,10.31 MB/s,0
1.0,0.6,0,0,10.46 MB/s,0
1.0,0.7,0,0,10.34 MB/s,0
1.0,0.8,0,0,10.41 MB/s,0
1.0,0.9,0,1,10.43 MB/s,0
1.0,0.9,0,1,10.35 MB/s,0
1.0,1.0,0,2,10.57 MB/s,0
1.0,1.1,0,2,10.58 MB/s,0
1.0,1.1,0,2,10.87 MB/s,0
1.0,1.2,0,3,10.85 MB/s,0
1.0,1.3,0,3,10.87 MB/s,0
1.0,1.4,0,3,10.88 MB/s,0
1.0,1.4,0,3,10.97 MB/s,0
1.0,1.5,0,4,11.03 MB/s,0
1.0,1.6,0,4,11.08 MB/s,0
1.0,1.7,0,4,10.96 MB/s,0
1.0,1.7,0,5,11.02 MB/s,0
1.0,1.8,0,6,10.98 MB/s,0
1.0,1.9,0,6,10.97 MB/s,0
1.0,2.0,0,7,10.97 MB/s,0
1.0,2.0,0,7,12.24 MB/s,0
1.0,2.1,0,7,12.29 MB/s,0
1.0,2.2,0,7,11.87 MB/s,0
1.0,2.2,1,7,11.64 MB/s,0
10.0,2.4,2,7,11.48 MB/s,0
10.0,2.4,2,7,11.39 MB/s,0
10.0,2.5,2,7,11.47 MB/s,0
10.0,2.6,2,8,11.57 MB/s,0
10.0,2.7,2,8,11.67 MB/s,0
10.0,2.7,3,8,11.62 MB/s,0
10.0,2.8,3,8,11.56 MB/s,0
10.0,2.9,4,8,11.88 MB/s,0
10.0,3.0,4,8,12.23 MB/s,0
11.0,3.0,4,8,12.28 MB/s,0
11.0,3.1,5,8,12.28 MB/s,0
11.0,3.2,5,8,12.49 MB/s,0
11.0,3.3,5,8,12.40 MB/s,0
11.0,3.4,5,8,12.38 MB/s,0
11.0,3.4,5,8,12.48 MB/s,0
11.0,3.5,5,8,12.47 MB/s,0
11.0,3.6,5,8,12.56 MB/s,0
11.0,3.6,5,8,12.14 MB/s,0
11.0,3.7,5,8,12.18 MB/s,0
11.0,3.8,5,8,12.14 MB/s,0
11.0,3.9,5,8,12.24 MB/s,0
11.0,3.9,5,8,11.57 MB/s,0
11.0,4.0,5,9,11.71 MB/s,0
11.0,4.1,5,9,11.71 MB/s,0
11.0,4.1,5,9,11.60 MB/s,0
11.0,4.2,5,9,11.45 MB/s,0
11.0,4.3,5,9,11.37 MB/s,0
11.0,4.3,5,9,11.48 MB/s,0
11.0,4.4,5,9,11.24 MB/s,0
11.0,4.5,5,9,11.17 MB/s,0
11.0,4.6,5,9,11.17 MB/s,0
11.0,4.6,5,9,11.61 MB/s,0
11.0,4.7,5,9,11.40 MB/s,0
11.0,4.8,5,9,11.32 MB/s,0
11.0,4.9,5,9,11.52 MB/s,0
11.0,4.9,5,9,11.64 MB/s,0
11.0,5.0,5,9,11.72 MB/s,0
11.0,5.1,5,9,11.79 MB/s,0
11.0,5.2,5,9,11.92 MB/s,0
11.0,5.2,5,9,11.97 MB/s,0
11.0,5.3,5,9,12.17 MB/s,0
11.0,5.4,5,9,12.15 MB/s,0
11.0,5.5,5,9,12.20 MB/s,0
11.0,5.5,5,9,12.16 MB/s,0
11.0,5.6,5,9,12.17 MB/s,0
11.0,5.7,5,9,12.16 MB/s,0
11.0,5.8,5,9,12.05 MB/s,0
11.0,5.8,5,9,12.12 MB/s,0
