Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
1.0,0.0,0,0,0 kB/s,0
1.0,0.0,0,0,0 kB/s,0
1.0,0.0,0,0,628 kB/s,0
1.0,0.0,0,0,1.66 MB/s,0
1.0,0.1,0,0,2.82 MB/s,0
1.0,0.2,0,0,4.02 MB/s,0
1.0,0.3,0,0,5.07 MB/s,0
1.0,0.3,0,0,6.22 MB/s,0
1.0,0.4,0,0,7.42 MB/s,0
1.0,0.5,0,0,8.62 MB/s,0
1.0,0.5,0,0,9.79 MB/s,0
1.0,0.6,0,0,10.86 MB/s,0
1.0,0.7,0,0,11.23 MB/s,0
1.0,0.7,0,0,11.21 MB/s,0
1.0,0.8,0,2,11.16 MB/s,0
1.0,0.9,0,2,10.98 MB/s,0
1.0,0.9,0,2,11.12 MB/s,0
1.0,1.0,0,3,11.12 MB/s,0
1.0,1.1,0,4,11.05 MB/s,0
1.0,1.2,0,4,11.19 MB/s,0
1.0,1.2,0,5,11.24 MB/s,0
1.0,1.3,0,5,11.37 MB/s,0
1.0,1.4,0,6,11.33 MB/s,0
1.0,1.5,0,7,11.51 MB/s,0
1.0,1.5,0,7,11.64 MB/s,0
1.0,1.6,0,8,11.67 MB/s,0
1.0,1.7,0,8,11.55 MB/s,0
1.0,1.7,0,8,11.73 MB/s,0
1.0,1.8,0,10,11.71 MB/s,0
1.0,1.9,0,10,11.70 MB/s,0
1.0,2.0,0,10,11.72 MB/s,0
1.0,2.0,0,10,11.70 MB/s,0
1.0,2.1,0,10,11.64 MB/s,0
1.0,2.2,2,10,11.50 MB/s,0
10.0,2.2,3,11,11.48 MB/s,0
10.0,2.3,3,11,11.46 MB/s,0
10.0,2.4,3,11,11.42 MB/s,0
10.0,2.5,4,12,11.38 MB/s,0
10.0,2.5,4,13,11.32 MB/s,0
10.0,2.6,3,14,11.30 MB/s,0
10.0,2.7,3,14,11.22 MB/s,0
10.0,2.7,3,14,10.82 MB/s,0
11.0,2.8,3,14,10.99 MB/s,0
11.0,2.9,3,15,11.05 MB/s,0
11.0,2.9,3,16,11.05 MB/s,0
11.0,3.0,3,16,11.11 MB/s,0
11.0,3.1,3,17,11.25 MB/s,0
11.0,3.2,5,18,11.20 MB/s,0
11.0,3.3,5,18,11.29 MB/s,0
11.0,3.3,5,18,11.27 MB/s,0
11.0,3.4,5,18,11.65 MB/s,0
11.0,3.5,5,19,11.43 MB/s,0
11.0,3.5,5,19,10.98 MB/s,0
11.0,3.6,5,19,10.67 MB/s,0
11.0,3.6,5,19,10.27 MB/s,0
11.0,3.7,5,19,9.73 MB/s,0
11.0,3.7,5,19,9.25 MB/s,0
11.0,3.8,5,19,8.82 MB/s,0
11.0,3.8,5,19,8.73 MB/s,0
11.0,3.9,5,19,8.75 MB/s,0
11.0,4.0,5,19,8.70 MB/s,0
11.0,4.0,5,19,9.00 MB/s,0
11.0,4.1,5,19,9.25 MB/s,0
11.0,4.2,5,19,9.65 MB/s,0
11.0,4.3,5,21,10.23 MB/s,0
11.0,4.3,5,21,10.69 MB/s,0
11.0,4.4,5,23,10.99 MB/s,0
11.0,4.5,5,23,11.18 MB/s,0
11.0,4.6,5,24,11.12 MB/s,0
11.0,4.7,5,24,11.27 MB/s,0
11.0,4.7,5,24,11.36 MB/s,0
11.0,4.8,5,24,11.49 MB/s,0
11.0,4.9,5,24,11.49 MB/s,0
11.0,5.0,5,25,11.38 MB/s,0
11.0,5.0,5,27,11.39 MB/s,0
11.0,5.1,5,27,11.39 MB/s,0
11.0,5.2,5,28,11.44 MB/s,0
11.0,5.3,5,28,11.43 MB/s,0
11.0,5.3,5,29,11.40 MB/s,0
11.0,5.4,5,30,11.48 MB/s,0
11.0,5.5,5,31,11.48 MB/s,0
11.0,5.6,5,32,11.48 MB/s,0
