Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0.0,0.0,0
1.0,0.0,0,3.8529411764705883,11.73,0
10.0,2.2,3,12.5,11.48,0
11.0,2.8,3,22.095238095238095,11.72,0
21.0,5.8,10,39.03921568627451,11.42,0
31.0,9.0,30,41.36,11.25,0
41.0,12.1,37,42.0,10.76,0
42.0,14.2,38,42.0,10.95,0
51.0,15.3,38,42.0,11.62,0
52.0,16.9,39,42.0,10.41,0
61.0,18.3,40,42.0,11.59,0
62.0,18.9,40,42.674418604651166,12.31,0
72.0,21.9,41,46.509803921568626,11.71,0
82.0,25.3,43,49.76,11.47,0
92.0,28.8,47,49.785714285714285,11.13,0
93.0,31.8,47,50.0,10.95,0
102.0,32.4,47,50.0,12.22,0
103.0,35.6,46,50.0,12.09,0
112.0,35.9,46,50.0,11.98,0
113.0,36.8,46,50.0,12.34,0
122.0,39.3,46,50.0,11.46,0
123.0,40.6,46,50.0,11.62,0
133.0,42.8,46,49.68627450980392,11.35,0
143.0,46.2,46,50.0,11.13,0
153.0,49.7,48,49.84615384615385,11.49,0
154.0,52.3,45,50.0,10.93,0
163.0,53.0,45,50.0,11.11,0
164.0,53.8,44,50.0,11.93,0
173.0,56.6,45,50.0,11.97,0
174.0,57.1,45,50.0,11.65,0
184.0,60.0,45,50.0,11.78,0
194.0,63.6,45,50.0,11.46,0
204.0,67.0,45,50.0,11.23,0
205.0,70.3,45,49.666666666666664,11.26,0
214.0,70.5,45,49.333333333333336,11.37,0
215.0,71.4,45,50.1025641025641,11.03,0
224.0,74.0,48,50.0,10.16,0
225.0,74.6,49,49.80952380952381,12.04,0
235.0,77.5,48,49.92156862745098,11.73,0
245.0,80.6,49,49.94,11.04,0
255.0,83.8,50,49.490196078431374,11.86,0
265.0,87.5,48,50.0,11.71,0
266.0,90.5,50,50.0,11.51,0
275.0,91.0,50,50.0,11.29,0
276.0,92.3,50,50.0,12.4,0
286.0,94.7,50,50.0,12.45,0
296.0,98.4,50,50.0,10.97,0
