Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0.0,0.0,0
10.0,0.0,0,0.0,0.0,0
20.0,0.0,0,0.0,0.0,0
21.0,0.0,0,0.0,0.0,0
30.0,0.0,0,0.0,0.0,0
31.0,0.0,0,0.0,0.0,0
40.0,0.0,0,1.9411764705882353,0.0,0
50.0,0.0,0,5.1395348837209305,1.86,0
51.0,0.2,4,6.142857142857143,2.76,0
60.0,0.4,5,10.4,2.79,0
61.0,0.7,6,15.193548387096774,2.95,0
71.0,1.3,14,25.15686274509804,8.65,0
81.0,3.8,25,41.66,10.94,0
91.0,7.4,42,50.0,11.31,0
101.0,11.5,49,50.0,9.49,0
102.0,14.3,50,50.0,9.5,0
111.0,14.7,50,50.0,9.82,0
112.0,16.2,49,50.0,10.02,0
121.0,18.2,48,50.0,8.78,0
122.0,19.3,48,49.935483870967744,8.34,0
131.0,20.7,47,49.0,6.61,0
132.0,20.8,47,50.04,11.65,0
142.0,24.0,49,49.8235294117647,11.44,0
152.0,27.2,47,50.12,11.19,0
162.0,30.7,47,50.28947368421053,11.54,0
163.0,33.3,47,49.92307692307692,10.63,0
172.0,34.2,46,49.875,11.74,0
173.0,36.1,46,50.0,8.46,0
182.0,37.5,45,50.0,9.98,0
183.0,38.8,46,50.0,11.07,0
192.0,41.5,45,50.0,11.22,0
193.0,42.1,45,49.97674418604651,11.88,0
198.0,45.7,44,50.0,11.36,0
203.0,45.8,44,49.98,11.72,0
213.0,49.3,43,50.11764705882353,11.25,0
223.0,53.3,42,50.0,11.05,0
233.0,56.5,41,50.0,9.96,0
234.0,57.8,41,50.0,8.97,0
243.0,59.4,42,50.0,11.23,0
244.0,61.0,42,49.774193548387096,10.87,0
254.0,63.2,44,50.01960784313726,11.76,0
264.0,67.2,46,50.0,11.74,0
274.0,71.1,50,50.0,9.12,0
275.0,73.4,50,50.0,7.61,0
284.0,73.4,50,50.0,8.11,0
285.0,75.0,50,50.0,7.76,0
294.0,76.3,50,50.0,10.85,0
295.0,78.3,50,50.0,11.61,0
304.0,80.4,50,50.0,11.47,0
305.0,80.9,50,49.82608695652174,12.11,0
315.0,84.4,49,50.02,11.97,0
325.0,88.4,48,49.94117647058823,12.04,0
335.0,92.8,46,50.0,11.79,0
345.0,97.2,46,49.98039215686274,11.55,0
355.0,99.8,42,50.0,8.8,0
