Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0.0,0.0,0
10.0,0.0,0,0.0,0.0,0
20.0,0.0,0,0.0,0.0,0
30.0,0.0,0,6.72,0.0,0
40.0,0.0,2,28.020833333333332,5.42,0
41.0,0.9,18,42.333333333333336,3.9,0
50.0,1.0,28,48.535714285714285,10.78,0
51.0,2.5,33,50.0,12.54,0
60.0,4.4,43,49.88235294117647,11.78,0
61.0,5.8,48,49.64705882352941,12.0,0
71.0,8.8,48,50.0,11.73,0
81.0,13.2,49,49.93333333333333,11.42,0
82.0,17.2,48,49.0,11.47,0
91.0,17.6,48,49.8235294117647,12.26,0
101.0,21.8,49,50.0,12.02,0
102.0,25.9,49,50.0,10.3,0
111.0,26.1,49,50.0,11.51,0
112.0,27.7,49,50.0,12.2,0
121.0,30.5,50,50.0,12.51,0
122.0,32.2,50,50.0,12.07,0
132.0,34.8,49,49.372549019607845,11.79,0
142.0,38.8,46,50.03921568627451,12.75,0
152.0,43.3,46,49.86,12.29,0
162.0,47.7,45,50.04347826086956,12.01,0
163.0,49.7,45,50.035714285714285,11.9,0
172.0,52.1,45,50.0,11.25,0
182.0,56.3,44,50.0,9.99,0
183.0,56.7,44,49.84782608695652,11.75,0
192.0,60.3,44,50.0,11.2,0
193.0,60.7,44,50.02272727272727,12.19,0
203.0,64.5,43,50.0,12.04,0
213.0,68.9,42,49.958333333333336,12.49,0
214.0,73.1,43,49.0,11.7,0
223.0,73.4,43,49.9,12.12,0
224.0,76.9,45,50.0,11.39,0
233.0,77.8,45,50.0,11.92,0
234.0,79.1,45,50.0,11.77,0
243.0,82.3,48,50.0,11.08,0
244.0,83.1,48,50.0,11.71,0
254.0,86.5,50,50.0,12.13,0
264.0,91.0,50,50.0,12.07,0
274.0,95.4,50,50.0,12.06,0
275.0,98.9,46,50.0,11.93,0
284.0,99.4,46,49.82051282051282,11.74,0
