Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0.0,0.0,0
1.0,0.0,0,2.3333333333333335,12.29,0
10.0,2.4,2,7.666666666666667,12.23,0
11.0,3.0,4,8.675,12.56,0
21.0,6.0,7,13.673913043478262,12.4,0
22.0,9.4,8,25.0,12.48,0
31.0,9.8,11,28.113636363636363,12.43,0
32.0,13.0,18,33.0,12.02,0
41.0,13.5,22,37.32142857142857,12.06,0
42.0,15.5,26,38.26086956521739,11.98,0
51.0,17.2,34,39.0,12.29,0
61.0,20.6,35,39.0,11.34,0
62.0,21.6,36,39.0,12.16,0
72.0,24.3,35,39.0,12.54,0
82.0,28.0,36,38.02,12.26,0
92.0,31.4,36,39.21568627450981,11.25,0
102.0,35.1,37,40.74,12.53,0
112.0,38.8,39,41.15,12.46,0
113.0,40.3,38,42.0,12.27,0
122.0,42.5,40,42.0,12.15,0
123.0,44.1,40,41.41379310344828,12.11,0
133.0,46.3,40,43.588235294117645,12.24,0
143.0,50.0,43,46.03921568627451,11.78,0
153.0,53.6,44,46.5,11.79,0
163.0,57.4,44,47.0,11.27,0
164.0,59.1,44,47.0,11.71,0
173.0,61.1,46,47.0,11.68,0
174.0,63.0,47,48.0,11.48,0
183.0,64.8,47,48.0,11.35,0
184.0,64.9,47,48.0,12.62,0
194.0,68.4,46,48.0,12.51,0
204.0,72.1,44,48.0,12.29,0
214.0,75.8,46,47.69387755102041,11.6,0
215.0,79.3,45,48.0,10.95,0
224.0,79.5,45,48.7,12.36,0
234.0,83.1,45,49.0,12.26,0
235.0,84.5,45,49.0,12.28,0
244.0,86.8,44,49.0,11.92,0
245.0,87.4,44,49.642857142857146,12.01,0
255.0,90.5,42,49.96078431372549,11.61,0
265.0,94.2,40,49.66,12.57,0
275.0,97.9,39,48.94117647058823,11.49,0
285.0,99.9,33,47.8,3.14,0
