Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,28.2,0,10.14,2.64,0
10.0,28.6,8,38.142857142857146,2.8,0
20.0,29.2,26,43.020833333333336,1.81,0
21.0,29.7,40,45.0,1.55,0
30.0,29.7,42,45.96666666666667,1.68,0
31.0,30.0,42,48.4,1.45,0
40.0,30.1,45,49.42857142857143,1.39,0
41.0,30.2,45,50.0,1.64,0
42.0,30.4,46,50.12,1.44,0
50.0,30.6,46,50.0,1.5,0
51.0,30.6,47,46.372093023255815,1.71,0
61.0,31.0,42,48.333333333333336,1.55,0
62.0,31.1,43,47.333333333333336,1.47,0
71.0,31.4,43,46.92307692307692,1.31,0
72.0,31.5,42,45.28947368421053,1.49,0
81.0,31.8,39,43.22222222222222,1.21,0
82.0,31.8,38,42.68421052631579,1.33,0
83.0,32.0,36,41.81818181818182,1.28,0
92.0,32.1,35,41.0,1.71,0
93.0,32.4,33,41.35,1.48,0
102.0,32.6,37,41.61904761904762,1.75,0
103.0,32.8,36,39.18518518518518,1.32,0
104.0,33.0,36,39.5,1.09,0
112.0,33.0,35,38.36734693877551,1.53,0
113.0,33.4,35,38.0,1.15,0
122.0,33.4,35,36.644444444444446,1.19,0
123.0,33.7,33,34.4,1.05,0
132.0,33.7,32,34.0,1.01,0
133.0,33.8,32,37.70454545454545,1.46,1
143.0,34.1,32,39.76470588235294,1.83,1
153.0,34.6,32,37.04,1.37,0
163.0,35.0,33,35.21875,1.36,0
164.0,35.2,30,33.1578947368421,1.42,0
173.0,35.3,31,32.4,1.38,0
183.0,35.7,31,29.88,1.43,0
184.0,35.9,29,29.8,1.29,0
193.0,36.1,28,28.766666666666666,1.46,0
194.0,36.4,26,28.0,1.51,0
204.0,36.5,26,26.15686274509804,1.42,0
214.0,36.9,24,23.784313725490197,1.39,0
224.0,37.3,22,22.08,1.3,0
234.0,37.7,18,19.178571428571427,1.36,0
235.0,37.9,17,18.695652173913043,1.29,0
244.0,38.1,16,18.566666666666666,1.35,0
245.0,38.3,16,19.0,1.47,0
254.0,38.5,16,19.0,1.3,0
255.0,38.5,16,19.0,1.39,0
265.0,38.9,17,17.1,1.38,0
275.0,39.3,16,16.19607843137255,1.37,0
285.0,39.6,15,14.891304347826088,1.36,0
286.0,40.0,14,15.0,1.37,0
295.0,40.0,14,15.0,1.38,0
296.0,40.3,13,15.0,1.35,0
305.0,40.4,13,15.0,1.38,0
306.0,40.5,13,15.0,1.35,0
315.0,40.8,12,14.75,1.21,0
316.0,40.8,11,14.0,1.28,0
326.0,41.1,10,14.333333333333334,1.37,0
336.0,41.5,10,15.0,1.43,0
346.0,41.9,9,15.294117647058824,1.32,0
