Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0.0,0.0,0
1.0,0.0,0,0.0,0.0,0
10.0,0.0,0,0.0,0.0,0
20.0,0.0,0,0.0,0.0,0
21.0,0.0,0,4.275862068965517,0.0,0
30.0,0.0,0,9.555555555555555,0.01,0
31.0,0.0,2,11.073170731707316,1.28,0
41.0,0.2,7,22.45098039215686,1.32,0
51.0,0.6,18,48.22,4.63,0
61.0,1.8,39,49.78431372549019,4.73,0
71.0,3.5,46,49.906976744186046,4.72,0
72.0,5.0,47,50.0,4.68,0
81.0,5.2,48,50.148148148148145,4.58,0
82.0,6.2,46,50.17391304347826,4.76,0
91.0,7.0,46,50.0,4.58,0
92.0,7.0,46,49.30612244897959,4.8,0
102.0,8.7,38,47.22,4.52,0
112.0,10.0,42,50.03921568627451,3.08,0
122.0,10.9,46,47.75757575757576,2.24,0
123.0,11.4,44,47.6875,2.32,0
132.0,11.7,44,47.857142857142854,2.25,0
133.0,12.3,40,48.0,2.25,0
142.0,12.5,39,45.578947368421055,2.55,0
143.0,12.8,38,40.5,2.34,0
152.0,13.3,32,39.0,2.35,0
153.0,13.4,32,37.458333333333336,2.64,0
163.0,14.2,28,40.13725490196079,2.91,0
173.0,15.2,30,44.58,2.65,0
183.0,16.1,29,49.93877551020408,2.92,0
184.0,17.1,28,50.0,2.57,0
193.0,17.1,28,50.08510638297872,2.69,0
194.0,18.0,30,50.0,2.45,0
195.0,18.1,30,50.0,2.45,0
203.0,18.1,30,49.45454545454545,2.52,0
204.0,18.3,29,49.92307692307692,2.92,0
214.0,19.0,30,48.78431372549019,2.96,0
224.0,20.0,30,50.17948717948718,2.97,0
225.0,20.8,27,50.0,2.75,0
234.0,21.0,28,49.38,2.92,0
244.0,21.9,27,49.04,2.56,0
245.0,22.4,27,47.6,2.61,0
254.0,22.8,25,47.583333333333336,2.58,0
255.0,23.0,25,49.30769230769231,2.77,0
264.0,23.8,27,50.0,2.8,0
265.0,23.9,26,47.58139534883721,2.81,0
275.0,24.7,26,43.09803921568628,2.73,0
285.0,25.7,32,42.666666666666664,2.79,0
286.0,26.4,34,41.25,2.51,0
295.0,26.6,34,41.12,2.78,0
305.0,27.5,35,44.25714285714286,3.23,0
306.0,28.2,36,46.875,3.03,0
315.0,28.5,36,47.36585365853659,2.93,0
316.0,29.4,39,47.0,2.87,0
326.0,29.5,42,47.24444444444445,2.79,0
327.0,30.4,44,48.0,2.59,0
336.0,30.5,44,47.12,2.78,0
346.0,31.4,42,46.23529411764706,2.72,0
356.0,32.4,43,44.9,2.85,0
366.0,33.3,42,45.58,2.77,0
376.0,34.3,41,48.0,2.33,0
377.0,34.4,41,49.22222222222222,2.73,0
386.0,35.2,42,50.0,2.34,0
387.0,35.2,42,48.51020408163265,2.86,0
397.0,36.2,39,49.3921568627451,3.03,0
407.0,37.2,43,49.68,2.78,0
417.0,38.1,44,49.90625,2.73,0
418.0,38.8,41,47.05263157894737,2.65,0
