Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0.0,0.638,0
1.0,0.0,0,3.3333333333333335,2.51,0
10.0,0.4,1,10.0,1.84,0
11.0,0.5,3,14.75,1.83,0
21.0,0.9,8,20.15686274509804,2.71,0
31.0,1.7,15,39.66,2.6,1
41.0,2.4,37,50.03921568627451,2.13,1
51.0,2.9,46,49.25,1.63,1
52.0,3.3,47,49.0,1.27,1
61.0,3.3,47,49.130434782608695,1.54,1
62.0,3.7,45,49.0,1.26,1
71.0,3.7,45,49.0,1.33,1
72.0,3.8,45,45.36363636363637,1.4,1
81.0,4.1,39,43.0,1.45,1
82.0,4.2,39,38.12765957446808,1.48,1
92.0,4.5,31,33.568627450980394,1.62,0
102.0,5.0,28,34.0,1.49,0
112.0,5.4,27,33.36363636363637,1.44,0
113.0,5.7,25,32.0,1.65,0
122.0,5.8,25,31.5,1.61,0
132.0,6.2,23,30.193548387096776,1.31,0
133.0,6.5,22,28.5,1.48,0
143.0,6.6,22,29.725490196078432,1.5,0
153.0,7.0,23,29.54,1.36,0
163.0,7.4,24,28.823529411764707,1.44,0
173.0,7.8,24,29.42,1.49,0
183.0,8.2,21,28.448275862068964,1.31,0
184.0,8.5,22,28.59090909090909,1.39,0
193.0,8.6,22,28.41176470588235,1.45,0
194.0,8.9,22,27.9375,1.58,0
203.0,9.1,22,27.0,1.34,0
204.0,9.1,22,26.72,1.54,0
214.0,9.5,21,24.9,1.43,0
224.0,9.9,22,23.0,1.38,0
234.0,10.3,23,22.642857142857142,1.48,0
235.0,10.6,22,22.0,1.37,0
244.0,10.7,22,22.0,1.44,0
254.0,11.1,21,22.0,1.49,0
255.0,11.3,21,22.0,1.44,0
264.0,11.5,20,22.0,1.34,0
265.0,11.6,20,22.0,1.38,0
275.0,11.9,19,21.235294117647058,1.43,0
285.0,12.3,18,20.26,1.61,0
286.0,12.7,17,19.0,1.54,0
295.0,12.7,17,19.0,1.48,0
296.0,13.1,19,19.0,1.42,0
305.0,13.1,19,19.0,1.38,0
306.0,13.3,19,19.0,1.46,0
315.0,13.5,18,19.0,1.37,0
316.0,13.6,18,19.0,1.44,0
326.0,13.9,17,18.431372549019606,1.36,0
336.0,14.3,16,19.7,1.4,0
346.0,14.7,15,20.0,1.53,0
347.0,15.0,16,20.0,1.26,0
356.0,15.1,16,21.0,1.49,0
357.0,15.4,17,21.0,1.36,0
366.0,15.5,17,21.0,1.42,0
367.0,15.7,17,21.0,1.45,0
377.0,15.9,18,21.0,1.41,0
387.0,16.3,19,21.0,1.47,0
397.0,16.7,19,21.0,1.6,0
407.0,17.2,20,22.34,1.43,0
417.0,17.5,21,23.0,1.36,0
418.0,17.7,21,23.0,1.56,0
427.0,18.0,22,23.933333333333334,1.44,0
428.0,18.1,22,24.285714285714285,1.47,0
438.0,18.4,23,24.745098039215687,1.42,0
448.0,18.8,24,24.41176470588235,1.5,0
458.0,19.2,24,24.0,1.41,0
468.0,19.6,24,24.0,1.44,0
469.0,20.0,23,24.0,1.23,0
478.0,20.0,23,24.0,1.3,0
479.0,20.1,22,24.0,1.32,0
488.0,20.4,21,24.0,1.29,0
489.0,20.4,21,23.869565217391305,1.38,0
499.0,20.8,21,23.0,1.38,0
509.0,21.2,23,23.0,1.47,0
519.0,21.6,23,22.613636363636363,1.43,0
520.0,21.9,20,23.0,1.41,0
529.0,22.0,20,23.0,1.37,0
530.0,22.1,19,22.258064516129032,1.39,0
539.0,22.3,20,22.77777777777778,1.3,0
540.0,22.4,20,23.0,1.29,0
549.0,22.7,22,23.0,1.37,0
550.0,22.8,23,23.0,1.4,0
560.0,23.1,23,23.0,1.38,0
570.0,23.5,23,23.0,1.49,0
580.0,23.9,23,21.333333333333332,1.58,0
590.0,24.4,21,21.0,1.42,0
591.0,24.5,21,21.0,1.37,0
600.0,24.8,21,21.0,1.23,0
601.0,24.8,21,20.7,1.45,0
611.0,25.2,20,20.0,1.52,0
621.0,25.6,20,20.0,1.56,0
631.0,26.1,19,20.0,1.5,0
632.0,26.4,19,20.0,1.64,0
641.0,26.5,18,20.0,1.47,0
642.0,26.7,18,20.0,1.55,0
651.0,26.9,16,20.0,1.56,0
652.0,27.0,15,19.52777777777778,1.43,0
661.0,27.3,15,20.0,1.36,0
662.0,27.4,17,20.0,1.44,0
672.0,27.7,19,20.0,1.45,0
682.0,28.2,19,20.88235294117647,1.54,0
692.0,28.6,19,21.0,1.35,0
702.0,29.0,20,21.636363636363637,1.4,0
703.0,29.3,19,22.0,1.33,0
712.0,29.4,19,22.0,1.38,0
713.0,29.6,20,22.0,1.45,0
722.0,29.8,21,21.666666666666668,1.38,0
723.0,29.9,19,20.05128205128205,1.43,0
733.0,30.1,18,20.745098039215687,1.38,0
743.0,30.5,17,21.0,1.44,0
753.0,30.9,18,21.0,1.41,0
763.0,31.3,18,21.0,1.57,0
773.0,31.7,19,21.0,1.49,0
774.0,32.0,19,21.0,1.33,0
783.0,32.1,19,21.0,1.36,0
784.0,32.3,19,21.0,1.45,0
794.0,32.5,20,21.0,1.57,0
804.0,33.0,20,21.0,1.55,0
814.0,33.4,19,21.0,1.5,0
824.0,33.8,18,21.0,1.37,0
825.0,34.0,16,21.0,1.58,0
834.0,34.2,17,21.0,1.48,0
835.0,34.4,17,21.0,1.51,0
844.0,34.6,17,21.0,1.24,0
845.0,34.6,17,21.0,1.5,0
855.0,35.0,16,21.0,1.34,0
865.0,35.4,14,21.0,1.39,0
875.0,35.8,15,20.0,1.45,0
885.0,36.2,16,19.54901960784314,1.55,0
895.0,36.7,18,20.0,1.39,0
896.0,36.7,18,21.652173913043477,1.51,0
905.0,37.1,19,22.0,1.41,0
906.0,37.1,19,22.0,1.4,0
