Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,0 kB/s,0
0.0,0.0,0,0,89 kB/s,0
0.0,0.0,0,0,389 kB/s,0
0.0,0.0,0,0,638 kB/s,0
1.0,0.0,0,0,794 kB/s,0
1.0,0.0,0,0,939 kB/s,0
1.0,0.0,0,0,1.12 MB/s,0
1.0,0.0,0,0,1.36 MB/s,0
1.0,0.0,0,0,1.61 MB/s,0
1.0,0.1,0,0,1.84 MB/s,0
1.0,0.1,0,0,2.15 MB/s,0
1.0,0.1,0,0,2.08 MB/s,0
1.0,0.1,0,0,2.07 MB/s,0
1.0,0.1,0,0,2.21 MB/s,0
1.0,0.1,0,1,2.37 MB/s,0
1.0,0.2,0,1,2.48 MB/s,0
1.0,0.2,0,4,2.51 MB/s,0
1.0,0.2,0,4,2.44 MB/s,0
1.0,0.2,0,4,2.33 MB/s,0
1.0,0.2,0,4,2.31 MB/s,0
1.0,0.2,0,4,2.23 MB/s,0
1.0,0.2,0,4,2.09 MB/s,0
1.0,0.2,0,5,2.25 MB/s,0
1.0,0.3,0,5,2.06 MB/s,0
1.0,0.3,0,5,1.97 MB/s,0
1.0,0.3,0,5,1.82 MB/s,0
1.0,0.3,0,5,1.71 MB/s,0
1.0,0.3,0,6,1.70 MB/s,0
1.0,0.3,0,6,1.70 MB/s,0
1.0,0.3,0,6,1.56 MB/s,0
1.0,0.3,0,7,1.57 MB/s,0
1.0,0.3,0,8,1.60 MB/s,0
1.0,0.3,0,8,1.60 MB/s,0
1.0,0.4,1,8,1.51 MB/s,0
10.0,0.4,1,8,1.57 MB/s,0
10.0,0.4,1,9,1.65 MB/s,0
10.0,0.4,2,9,1.67 MB/s,0
10.0,0.4,2,9,1.68 MB/s,0
10.0,0.4,2,9,1.68 MB/s,0
10.0,0.4,3,10,1.68 MB/s,0
10.0,0.4,3,10,1.82 MB/s,0
10.0,0.5,3,11,1.81 MB/s,0
10.0,0.5,3,11,1.84 MB/s,0
10.0,0.5,3,11,1.80 MB/s,0
10.0,0.5,3,11,1.71 MB/s,0
10.0,0.5,3,11,1.64 MB/s,0
10.0,0.5,3,11,1.56 MB/s,0
11.0,0.5,3,11,1.59 MB/s,0
11.0,0.5,3,11,1.55 MB/s,0
11.0,0.5,3,11,1.53 MB/s,0
11.0,0.5,3,11,1.50 MB/s,0
11.0,0.5,3,12,1.45 MB/s,0
11.0,0.6,3,12,1.46 MB/s,0
11.0,0.6,3,12,1.51 MB/s,0
11.0,0.6,3,12,1.51 MB/s,0
11.0,0.6,3,13,1.53 MB/s,0
11.0,0.6,3,13,1.49 MB/s,0
11.0,0.6,3,13,1.66 MB/s,0
11.0,0.6,3,13,1.60 MB/s,0
11.0,0.6,4,13,1.64 MB/s,0
11.0,0.6,4,13,1.64 MB/s,0
11.0,0.7,4,13,1.68 MB/s,0
11.0,0.7,4,13,1.67 MB/s,0
11.0,0.7,4,14,1.63 MB/s,0
11.0,0.7,4,14,1.59 MB/s,0
11.0,0.7,5,15,1.57 MB/s,0
11.0,0.7,5,15,1.55 MB/s,0
11.0,0.7,5,16,1.52 MB/s,0
11.0,0.7,5,16,1.47 MB/s,0
11.0,0.7,5,17,1.41 MB/s,0
11.0,0.7,5,17,1.37 MB/s,0
11.0,0.7,5,17,1.41 MB/s,0
11.0,0.8,5,17,1.54 MB/s,0
11.0,0.8,5,17,1.54 MB/s,0
11.0,0.8,5,17,1.54 MB/s,0
11.0,0.8,5,17,1.55 MB/s,0
11.0,0.8,5,18,1.58 MB/s,0
11.0,0.8,5,18,1.64 MB/s,0
11.0,0.8,5,18,1.72 MB/s,0
11.0,0.8,5,18,1.80 MB/s,0
11.0,0.8,5,18,1.83 MB/s,0
11.0,0.9,5,18,1.82 MB/s,0
