Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0.0,0.0,0
1.0,0.0,0,0.0,0.0,0
10.0,0.0,0,0.0,0.0,0
11.0,0.0,0,0.2972972972972973,0.0,0
21.0,0.0,0,2.980392156862745,0.486,0
31.0,0.0,2,21.2,0.868,1
41.0,0.2,13,47.12244897959184,4.11,1
42.0,1.2,34,50.0,4.12,1
51.0,1.3,39,50.04,4.75,1
61.0,3.0,44,50.0,4.71,1
62.0,4.2,48,50.0,1.86,1
71.0,4.2,48,50.0,2.07,1
72.0,4.3,48,50.0,2.57,1
82.0,5.0,49,46.98,2.02,1
92.0,5.7,40,42.568627450980394,3.08,1
102.0,6.6,33,47.58,2.94,1
112.0,7.7,43,50.0,2.61,1
113.0,8.1,43,49.0,2.48,1
122.0,8.6,45,48.285714285714285,2.61,1
123.0,9.1,44,48.0,2.63,1
124.0,9.5,44,48.0,2.49,1
132.0,9.5,44,48.0,2.6,1
133.0,9.6,44,47.595238095238095,2.47,0
143.0,10.3,43,47.294117647058826,2.67,0
153.0,11.2,40,45.951219512195124,2.82,0
154.0,12.0,40,50.333333333333336,2.36,0
163.0,12.2,39,49.568627450980394,2.67,0
173.0,13.1,37,49.66,2.72,0
183.0,14.0,37,50.142857142857146,2.63,0
184.0,14.3,37,50.08108108108108,2.73,0
193.0,15.0,38,49.11538461538461,2.43,0
194.0,15.4,37,48.25,2.41,0
204.0,15.8,36,47.588235294117645,2.72,0
214.0,16.8,36,49.333333333333336,2.69,0
215.0,17.5,37,50.0,2.49,0
224.0,17.7,37,44.18,2.87,0
234.0,18.7,35,44.10526315789474,2.82,0
235.0,19.0,35,42.84375,2.6,0
244.0,19.6,33,42.38095238095238,2.53,0
245.0,20.0,33,43.62068965517241,2.64,0
255.0,20.5,32,43.64705882352941,2.55,0
265.0,21.4,36,44.0,2.74,0
266.0,22.3,32,44.0,2.36,0
275.0,22.3,32,44.15151515151515,2.69,0
276.0,22.9,34,46.333333333333336,2.54,0
285.0,23.3,34,46.77777777777778,2.54,0
286.0,23.6,33,45.27272727272727,2.55,0
295.0,24.2,35,47.75,2.67,0
296.0,24.5,35,48.38235294117647,2.75,0
305.0,25.2,34,49.0,2.39,0
306.0,25.2,34,46.145833333333336,2.69,0
316.0,26.1,36,44.14,2.67,0
326.0,26.9,37,45.0,2.6,0
327.0,27.6,37,46.470588235294116,2.77,0
336.0,27.9,37,45.55882352941177,2.91,0
337.0,28.6,41,43.25,2.71,0
346.0,28.9,40,44.625,2.62,0
347.0,29.3,41,46.2962962962963,2.83,0
356.0,29.9,42,47.0,2.76,0
357.0,30.0,42,47.20454545454545,2.69,0
366.0,30.8,44,48.0,2.46,0
367.0,30.8,44,46.15217391304348,2.66,0
377.0,31.7,43,44.21052631578947,2.6,0
378.0,32.4,42,43.92307692307692,2.86,0
387.0,32.6,41,43.0,2.78,0
388.0,33.5,41,43.0,2.52,0
397.0,33.5,41,43.0,2.63,0
