Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0.0,0.0,0
1.0,0.0,0,0.0,0.0,0
10.0,0.0,0,0.0,0.0,0
1007.0,93.8,41,50.0,2.58,0
1008.0,93.9,41,49.44444444444444,2.72,0
1017.0,94.7,41,50.0,2.29,0
1018.0,94.8,41,50.04081632653061,2.82,0
102.0,10.4,43,49.92,4.54,0
1028.0,95.6,40,48.27450980392157,2.65,0
1038.0,96.5,38,47.411764705882355,2.69,0
1048.0,97.4,36,45.172413793103445,2.82,0
1049.0,98.0,36,44.476190476190474,2.78,0
1058.0,98.4,35,45.0,2.81,0
1059.0,98.6,35,45.46341463414634,2.65,0
1068.0,99.3,33,44.5,2.32,0
1069.0,99.4,28,45.63157894736842,2.63,0
1079.0,99.7,27,49.14,2.28,0
1089.0,99.9,20,50.02,0.153,0
1094.0,99.9,13,50.0,0.0,0
1099.0,99.9,13,48.75,0.231,0
11.0,0.0,0,2.5135135135135136,0.0,0
112.0,11.9,45,49.391304347826086,3.55,0
113.0,12.8,43,49.0,2.55,0
122.0,12.9,42,49.3469387755102,2.56,0
132.0,13.8,40,49.46666666666667,2.67,0
133.0,14.0,42,49.611111111111114,2.77,0
143.0,14.7,40,49.3921568627451,2.96,0
153.0,15.6,40,48.36,2.79,0
163.0,16.5,41,49.96078431372549,2.25,0
173.0,17.3,39,48.29545454545455,2.71,0
174.0,18.1,38,46.166666666666664,2.44,0
183.0,18.2,38,46.72093023255814,2.6,0
184.0,18.9,36,45.75,2.47,0
193.0,19.1,35,44.07142857142857,2.48,0
194.0,19.3,33,42.77777777777778,2.39,0
204.0,19.9,34,42.411764705882355,2.64,0
21.0,0.0,0,24.176470588235293,0.752,0
214.0,20.8,33,39.86274509803921,2.47,0
224.0,21.7,31,37.22,2.42,0
234.0,22.6,29,40.13725490196079,2.7,0
244.0,23.5,31,43.84444444444444,2.5,0
245.0,24.2,29,44.0,2.37,0
254.0,24.3,29,44.0,2.29,0
255.0,24.3,29,42.16326530612245,2.68,0
265.0,25.2,29,40.0,2.67,0
275.0,26.2,28,41.0,2.58,0
285.0,27.1,27,40.54545454545455,2.5,0
286.0,27.4,27,39.793103448275865,2.41,0
295.0,27.9,26,40.64,2.36,0
305.0,28.7,25,40.0,2.36,0
306.0,29.2,25,41.47826086956522,2.57,0
31.0,0.1,9,46.08,3.16,0
315.0,29.5,25,41.23809523809524,2.34,0
316.0,29.9,25,43.310344827586206,2.55,0
326.0,30.4,26,45.0,2.79,0
336.0,31.3,25,47.24,2.55,0
346.0,32.2,29,49.92156862745098,2.55,0
356.0,33.1,34,49.63265306122449,2.55,0
357.0,34.0,37,50.0,1.97,0
366.0,34.0,37,50.07692307692308,2.54,0
367.0,34.4,40,50.0,2.75,0
377.0,34.9,42,47.84313725490196,2.68,0
387.0,35.8,40,48.84,2.62,0
397.0,36.7,41,49.75,2.77,0
398.0,37.6,45,50.0,2.49,0
