Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0.0,2.06,0
1.0,0.1,0,0.0,4.42,0
10.0,0.8,0,0.0,4.62,0
11.0,1.9,0,0.0,4.64,0
20.0,2.2,0,0.0,4.55,0
21.0,2.4,0,0.0,4.65,0
30.0,3.6,0,0.0,4.28,0
31.0,4.2,0,0.0,4.77,0
41.0,5.0,0,0.0,4.58,0
42.0,6.2,0,0.0,4.54,0
51.0,6.5,0,0.0,4.51,0
52.0,7.8,0,0.0,4.37,0
56.0,7.9,0,0.0,4.38,0
61.0,7.9,0,0.0,4.79,0
62.0,8.9,0,0.0,4.68,0
71.0,9.4,0,0.0,4.68,0
72.0,9.8,0,0.0,4.63,0
81.0,10.9,0,0.0,4.5,0
82.0,11.2,0,0.0,4.45,0
92.0,12.3,0,0.0,4.48,0
102.0,13.7,0,0.0,4.76,0
112.0,15.1,0,0.0,4.77,0
113.0,15.9,0,0.0,4.67,0
122.0,16.6,0,0.0,4.6,0
123.0,17.8,0,0.0,4.52,0
132.0,18.0,0,0.0,4.49,0
133.0,19.0,0,0.0,4.37,0
143.0,19.5,0,0.0,4.82,0
153.0,20.9,0,0.0,4.58,0
163.0,22.3,0,0.0,4.53,0
173.0,23.7,0,0.0,4.79,0
183.0,25.1,0,0.0,4.6,0
184.0,25.9,0,0.0,4.57,0
193.0,26.6,0,0.0,4.52,0
194.0,27.2,0,0.0,4.45,0
204.0,28.0,0,0.0,4.75,0
214.0,29.5,0,0.0,4.71,0
215.0,30.5,0,0.0,4.62,0
224.0,31.0,0,0.0,4.5,0
225.0,31.8,0,0.0,4.48,0
234.0,32.4,0,0.0,4.79,0
235.0,33.2,0,0.0,4.73,0
244.0,33.8,0,0.0,4.54,0
245.0,34.4,0,0.0,4.48,0
255.0,35.2,0,0.0,4.74,0
265.0,36.7,0,0.0,4.58,0
266.0,38.0,0,0.0,4.42,0
275.0,38.1,0,0.0,4.54,0
276.0,39.3,0,0.0,4.48,0
285.0,39.5,0,0.0,4.76,0
286.0,40.9,0,0.0,4.76,0
295.0,41.0,0,0.0,4.76,0
296.0,42.0,0,0.0,4.63,0
306.0,42.4,0,0.0,4.54,0
316.0,43.9,0,0.0,4.46,0
326.0,45.3,0,0.0,4.81,0
336.0,46.8,0,0.0,4.68,0
337.0,47.9,0,0.0,4.53,0
346.0,48.2,0,0.0,4.52,0
347.0,48.6,0,0.0,4.4,0
357.0,49.7,0,0.0,4.35,0
367.0,51.1,0,0.0,4.8,0
377.0,52.5,0,0.0,4.68,0
387.0,54.0,0,0.0,4.55,0
388.0,55.0,0,0.0,4.5,0
397.0,55.4,0,0.0,4.46,0
398.0,56.3,0,0.0,4.37,0
407.0,56.9,0,0.0,4.3,0
408.0,57.2,0,0.0,4.65,0
418.0,58.3,0,0.0,4.76,0
428.0,59.7,0,0.0,4.61,0
438.0,61.2,0,0.0,4.8,0
448.0,62.6,0,0.0,4.7,0
458.0,64.1,0,0.0,4.69,0
459.0,64.9,0,0.0,4.78,0
468.0,65.5,0,0.0,4.75,0
469.0,65.5,0,0.0,4.72,0
479.0,67.0,0,0.0,4.55,0
489.0,68.4,0,0.0,4.8,0
499.0,69.9,0,0.0,4.77,0
509.0,71.3,0,0.0,4.64,0
510.0,72.0,0,0.0,4.54,0
519.0,72.7,0,0.0,4.34,0
520.0,72.9,0,0.0,4.44,0
530.0,74.2,0,0.0,4.76,0
540.0,75.7,0,0.0,4.65,0
541.0,76.6,0,0.0,4.6,0
550.0,77.1,0,0.0,4.54,0
560.0,78.6,0,0.0,4.81,0
570.0,80.0,0,0.0,4.63,0
571.0,80.6,0,0.0,4.59,0
580.0,81.5,0,0.0,4.48,0
581.0,81.5,0,0.0,4.43,0
591.0,82.9,0,0.0,4.66,0
601.0,84.3,0,0.0,4.63,0
611.0,85.8,0,0.0,4.8,0
621.0,87.2,0,0.0,4.78,0
631.0,88.6,0,0.0,4.82,0
632.0,89.6,0,0.0,4.72,0
641.0,90.1,0,0.0,4.58,0
642.0,90.6,0,0.0,4.47,0
652.0,91.5,0,0.0,4.76,0
662.0,92.9,0,0.0,4.67,0
663.0,94.2,0,0.0,4.52,0
672.0,94.2,0,0.0,4.56,0
682.0,95.6,0,0.0,4.44,0
683.0,96.4,0,0.0,4.82,0
692.0,97.1,0,0.0,4.81,0
693.0,97.3,0,0.0,4.78,0
703.0,98.5,0,0.0,4.64,0
